Claimant Address,Total Amount BILL,Number of Claims
0xbc8b292d0F5208C651b93D7d765d9FeFd9E9fB5b,1025000.00,1
0x848787017299bbeb15F1bBfB2d84Cf7467f47E59,1005000.00,1
0x29fF6f2d03A18d9D1d1B17A434509Dd28760d40A,1005000.00,1
0x25CC275CFE3Cce1700E816e00d4CD1f60872038A,1005000.00,1
0x45B5A7103c310fCE8Ecb1391e689a66397b057Bd,1000000.00,1
0x3524876e26B3151e9704d49819D518B92f979c45,1000000.00,1
0xD32725CD36a529E98Ed9DdE5B1fD9947086C1072,1000000.00,1
0x71009BE642e2b44F2FE4f10E8Be4520D2C6982A4,1000000.00,1
0x89c2629eDE833D7F63B25C66e2129eD9A0e8EAb7,1000000.00,1
0x7c084b46Ca6855c2795F5293176FBEFFB5c42266,1000000.00,1
0x6a6acF8C4d423B24c5503DB60D7152E7Ab352cE4,1000000.00,1
0xE31cf01e59d7eBE87d5C7E1f27A0C54E8270AA0E,1000000.00,1
0xC9483dc485CB9b389137a0f522D7F97D6b38dCD3,400000.00,1
0x4f9878d88E6829b017c1329F70153cBFeB6131c0,400000.00,1
0xf17017dD78887f7A6d03a81E36FfBdF67eac2B8a,400000.00,1
0x316aA2137AE15558986d649d4AFA8F0F7B43564d,398770.00,1
0x3952FE0f1d38c8378FC3c35a1a44f69f6E0FC1dd,397334.00,1
0x1198Cc7E9941Be63704EDfd3f59dC2BC990Cd850,395077.00,1
0x2a965619C97E388447F1F38769e2459Cf5467e4C,393436.00,1
0x96Be56E7c41e2e1F13fCc5b429091e3DBe0C1c5b,393231.00,1
0xaDA95C6a1C5311ACD186D236baFFf256A1Db8397,391590.00,1
0xbA55BDbF959DF826dA6c35487eB15FaD2164662d,391385.00,1
0x693d73b36AF1DCa7608E84Dc060c85aD9541910B,390975.00,1
0x6075B5Cfbd641818a9865cF9edB901F336258161,390770.00,1
0xF706611e01F0dC617D8024769f7bd2E08575b401,390000.00,1
0x68292357E9b0B35E08861CcDb53290BDB92999C5,389949.00,1
0xBD008DB3d8704Ce124fcd13E448E950B409e07E1,389744.00,1
0x3bB404c7CFC59d0E60e1589EeccB121d86748D2c,388103.00,1
0x2F7b736B1E58685F7A812a9EB428841af1F6D7AC,387898.00,1
0xB093C3aBec90a54Ab8068F70925FfB52CF5e3354,384616.00,1
0x34222e9e32f35E36A542522Bf182F11b983145fF,383180.00,1
0x20408d16c9a5eb71F09A07fC64870042Ad7453d1,382565.00,1
0xAFf8C16838960Ea45114a8f9f818581Fd026687E,380718.00,1
0x190A33F3370b2Ea46645ba98965e79c2046E7359,377436.00,1
0x40Bd48F6c5DE5077c71797B12D64Ef99C453F835,375795.00,1
0x6FAeb74fE98dF50dbFa99d53FF08ce5Ff94Baf0d,375590.00,1
0x1c6aA27d08024C2Ff127bEe41A6f7bDa45A74EA8,374359.00,1
0x7846e738f5509A23de53820FEa3031EBe4deF351,373129.00,1
0x5970c01A20a6a5dafFCB6c0c85d9473d7BD93c77,372513.00,1
0x93497A0e91B2Cc8F913b0DE16B9D5b21d643F882,370872.00,1
0x45C8121b222Aa541f301AC61CC234E7eb323Fa99,370462.00,1
0xbD2208bFeccd551B7bbd4cD915a53f63E2B9042C,370335.00,1
0x67928372E025316f5B21F8fEa5029027EB7D7415,370052.00,1
0x5b197E3eE6770518f6F2735274522F48aBd69864,369847.00,1
0xF4F952f68E8791E04F3824f13c90faddF7db538a,369642.00,1
0xc22b9AAc77d506B20a7E7d6885Afc6D26474f1Df,368616.00,1
0x8780FF9966C057dCCae8D9Bed78CC53726Dc907b,368206.00,1
0x60f3100495D94e772782FB19Fc8f4f868F51a841,367590.00,1
0x58fBFb74f421e7FA7d6d38351532F13303F8C32b,367385.00,1
0x74Fc2d23C2243cfa55DDf02ec2Ce53176BfAc782,366359.00,1
0x7929cDD05469227441CfE29AEFF234653361b2Fe,365949.00,1
0xA632C8943c5e1D3a6006b8F57Dff25Ef662ABbE9,365539.00,1
0x9f01f41c8Ab3583B1Ca17A1BEC9eD7F6A01babe3,364718.00,1
0x1D09DA45769D01B7FB70B7BEa9D2E4DD6145419a,363077.00,1
0x8b794f707b8Aa9b924B1Ec8096a971af09E0CaB5,361026.00,1
0x821221842fD8c25f124165DF51a684A1C433f36E,360000.00,1
0x4bcC65e69fd0a6712064ca5DCD9dc31C03CA4198,358154.00,1
0xd80E6Ec65343fD842C7C9DDD5f24008f479e0Bbf,354052.00,1
0x1FCb2A012d4b76C143a5Bb04030fdb166aeF515E,352000.00,1
0xd8c31BfE46800DCE48e0372C77A637b945060310,349744.00,1
0xB62fEaB6F096B35B0681C3dA6168d1B8F33F46AF,349129.00,1
0x442C9e9C0dC6C77DD6b45Cd124419c20C9403082,348308.00,1
0xF2aC860EECDb89d41a4633717E33B76327f7B2b8,346872.00,1
0x6Ea1881e0F0F126Aa9c8BB33EB893B197bb9BE31,346257.00,1
0xa94fdea84c90670d0E2D479c845B5B293A63f1F2,330667.00,1
0x10739Fa2e81A026FEBF668324cbEC79254234728,325129.00,1
0x4f49D938c3Ad2437c52eb314F9bD7Bdb7FA58Da9,252984.00,1
0x565b3F50e8d17c14760462fa26b8B5C3fD73c09e,200000.00,1
0xD755A8d0c72b379F445AB17fe60af9a76EAAD221,164000.00,1
0xdF8CcECD389ca77Dcb32D7727D8F1bbC0499dA05,158470.00,1
0x753D6C5C07964026FE5e5ee980DFc9dF2bd48Ad2,138207.00,1
0xfcF991BEb05103Bdf381Abf11D66a0EC12903b2D,132000.00,1
0xb26fc278646bDbf66A1daaa120fEc1c9f2DBd2F7,130000.00,1
0x67280C1f9F6F6b8f31A72DDAd19b86F938456036,130000.00,1
0x7f0E9e06DeA3d58e28b3F4D1b6438b84Dbf3af73,130000.00,1
0x274e49F0DAD49B494cafeB29E445d09A9a672360,130000.00,1
0x07A40840937c46fD86d0e1Ba8663Efa8fF3a7511,130000.00,1
0x2070277F91D9F8383E450AEd81BE5347f5f9ea34,130000.00,1
0x5a9792915f0FF2Cb6f58946d0Eab5f2B3D70bc4f,130000.00,1
0x4214bDd824E5A35F6d062Eb04c1DF2C8aC089A69,130000.00,1
0x79161E2d3D01e2e1E029167291DC30BAAa387754,130000.00,1
0xC21Ed6d33390505FB23eB1A78C25A4b00647b303,130000.00,1
0x5f8256E3D50616fB7418048F13EDA56a881Ed5ae,130000.00,1
0x8A5FfAA364437937C3C06395EDcF3F2C16ecD11A,130000.00,1
0x2005355bD09Da2faC2057BFb2de11cC15d3Ab666,130000.00,1
0xd040bAEb020692D62A0ec7811Fb6BE9B96f9844e,130000.00,1
0x57C730869E23721A6D08C0Eb005Dbc7C82F95d6A,130000.00,1
0x573F28dB9bA30EfbAc1992a50B40a9dca64fe771,130000.00,1
0xF61c0f659203B791b170c675B7F2dbcF89072a14,130000.00,1
0x54fED2fD06004E97b3bb5d95Bf07AA4D70c3fa3a,130000.00,1
0x4E29fa5Ee5857122B19Ce95608f68ad953EE3A89,130000.00,1
0xE57a97AC2966E4Dc0016Fce50e93BC1b9Daf56b8,130000.00,1
0x537e466B329f5F439059e69AD8d144637FD461d4,130000.00,1
0xba0E2C4BEb604D16B3B04750f8DAA7A809524761,130000.00,1
0xD3BaBcB92FBc57731546FF93D725Ef67d9acECf2,130000.00,1
0xABb7feF90DCdd5181e8311b27BD4268f950cCc09,130000.00,1
0x4a7E4B09E484712ABEADa603e7a02fF9bc5Ac51D,130000.00,1
0x042a19271D4Fdb81CC543090536C6A28CDB7c924,130000.00,1
0x33A0e5E85c56945FD725Cc78e019F0DFed1aD05A,130000.00,1
0x79A795aeD9F2B13C93e8DDD242a9D2e1ee7D00d5,130000.00,1
0x9255b911fCF164f48c7B3e04dC091bf9e046F6BB,130000.00,1
0xC82AfaEEC1d0F110f6575224CcfF673fB2e643d3,130000.00,1
0x3D5Dd25fC04Ed79622Fa33DcBD9A0564E6EF9771,130000.00,1
0x821B34146f26CbAe700af58e29306F89d8a01973,130000.00,1
0x05Ff366BBD1C0C4325d2C341e2FA0b59d2B127b1,130000.00,1
0x6e4EB24194C6F2487bcE229416d9928062398c4e,130000.00,1
0x59D7272f4169de85331DC7be8E0B6f9516E43Dec,130000.00,1
0x5614264b6970A94337DB8812BcB14F99e42C0C58,130000.00,1
0x5Db6eA162bb44C877B5020E86f6e6fB97a7B7A1e,130000.00,1
0x56666E263Bd0Bc2044eDcd394991879ee90d535c,130000.00,1
0xFDaE6fe6013A50a84B56c978cDbe3bC516BB3E25,130000.00,1
0xb00e966B64B9DC23A8089B998723F750265f4D22,130000.00,1
0xD53c4D3830B613707d9D362FFCAB1D956004Bcfe,130000.00,1
0xaed31adBf0a163d7C47C1B618c10acaf5d200324,130000.00,1
0xe15CbD0311ECdC61945601AAd65AaE663ddb3e3d,130000.00,1
0x52137377bcA37CD138A57ee0F86D70437F234d79,130000.00,1
0xBee63d1B264f50BC7B2873D13192B964E3B1eEc3,130000.00,1
0xc8344899e068c65B2Cc14572b1db984422F676Dd,130000.00,1
0xe71FaBD42A4EF93460f957E235D4B30f41A0170d,130000.00,1
0x14292ec1a50b180fE62385a6D9358a9582aaCe63,130000.00,1
0xa03616a969119be6D0b79D5f22CaA2b3A7C972f3,130000.00,1
0x4110f220813cc81CfDF6615a322da7F32FF45074,130000.00,1
0xAfD453a2df9249E7f9bf9678f4164c51A632062b,130000.00,1
0x8f33c5d444387a1cb3ffcF4e9d66fbccabbf7414,130000.00,1
0x5115C23a954e9B946399574F6Ff465020e9DfC39,130000.00,1
0x360cEBaC3453204D44032d4E4d2c9896DE48a85c,130000.00,1
0xfcEc962D1b15121ffaC681435fABa8880e6CAecd,130000.00,1
0x60437592183bbf9B5748E1Ac724bFbf55AbA14E1,130000.00,1
0x234D5B323Dd7bc124F814a8bA28dd884785093cd,130000.00,1
0x7fc543323DcF4C4959Bd7657bA032A71c1DC4785,130000.00,1
0xB7C6C5C18FCdf1a2f3317d5BE3245016621BF6Ab,130000.00,1
0xE5Ef8969A2B79fa43DC691C242bb846359c516B7,130000.00,1
0xcb7BF8c9C883fC2617FfAAdaE6430B63Bd1782eE,130000.00,1
0xFd9c86d13a1C64Ad29Bee8F64d7Edca98234aaB6,130000.00,1
0x3dEdE9936D1EB27b7E10bA20D3A26F9Ce8c68281,130000.00,1
0x550BCc03e701E511Ca12eC5ddfA26A069c6Af44B,130000.00,1
0x573c452DAB249cFC6D0E0a0b41488DB50aB40C06,130000.00,1
0xFE2e102deef86701b202CA841CED19b58b6A7bAB,130000.00,1
0x9bb64e40DCBe4645F99F0a9e2507b5A53795fa70,130000.00,1
0x91953E56143Ac51885eEE80cD91E28066F9A19d7,130000.00,1
0xA0231FD51CB3c275C5420FEEaC33Ad6af6837Ac1,130000.00,1
0xE7CeF628bbb5328D6e61D2A7e732033b5c93f733,130000.00,1
0xfeeeB2a8fec2a5Dfac8E4EeD2335ce6FCBbB8c12,130000.00,1
0x8f9e2d6ee28D3e11EC4c5A31DE1c12fF71f009f3,130000.00,1
0x1797c713E0fb79926D689D0C8557d1d0EAFb2007,130000.00,1
0xa85e5ECDD25fb817911E2c03d959f2B482bf1D47,130000.00,1
0x341D79644bdB2B79319Aa0b4E93f8e888ba9BF6F,130000.00,1
0x44B98e5685245Ccbe9a8deBd033F10DCbb4409fb,130000.00,1
0x3B8e1c01a92d6dD41BDb2300A32e3c01332F9144,130000.00,1
0x82b521470e3E60e3d3D9Ac43a67D1D0765a81D78,130000.00,1
0x23e9E002Ee2Ae2baA0C9d6959578Bcb77148BDcf,130000.00,1
0x9dd3f4B819B3914f5f4a4c8F8060F834573CF014,130000.00,1
0xdB89eDDeDe70c0ca0adE34825397515851a38536,130000.00,1
0x8EEC170E2167cDf79E075a2f7d6a77B4609f16aE,130000.00,1
0x9B9fF8E92F29B357fD3A547c613877896C86643A,130000.00,1
0x94b02b4F0c441A4c6E2F6CD164278Ae15eB567BC,130000.00,1
0x590Eac6F20DcDeca701cc336D321D05E332068d4,130000.00,1
0xDb40B67Ec43c772A7B8E0b5f2a0FbF62FA7c4D68,130000.00,1
0x9e3c2d1AbE99f6eBd9d6Cc380FFc2614eb6Cd57B,130000.00,1
0xfcdFDA023F727dAFA35E8EE2715BCD7411C86b21,130000.00,1
0x11C74eA53003C8B495C76C8CE625b9680bcDB2e0,130000.00,1
0x43f708c3f68B5fE2Fe5cf38844b56613c71fc544,130000.00,1
0xE55F1046093854b8B19869DA9638dAAeF670Bdbb,130000.00,1
0x73af0A0dCbbE0d54f9fbb189a208A515D35430b0,130000.00,1
0x16C6b5D9e508C0438561b96C2a0B67c48AEA5fe1,130000.00,1
0xcB7D7c5311cd2BeBBF2e1474c86C3dADA783354D,130000.00,1
0x0fBD0e7656F5FA57C1bA3aA3a553179F8e7E6254,130000.00,1
0x4CC13c871744dD7268F0715194f403dc4F6015fB,130000.00,1
0xaAc24F5672eFafdc7de27282EEdae5B3F87Cb07F,130000.00,1
0xE48129bdcA6f2520CF25cFfa5cb52933c66Cd38b,130000.00,1
0xa45AE4116B7412755c5da068cAF7e682037bE84a,130000.00,1
0x4cc1C62E813ca41C4C6E7a38E9d404e2C89A9c1A,130000.00,1
0x360d5031a22306ce8CE1Bfc9153702Ab66B7D202,130000.00,1
0x7A27F6CaE90184a9a67294bB0DF9d77390dbC6c1,130000.00,1
0x2b10A59BCe017170D83537c1D0eFfDF8A1610645,130000.00,1
0x3Dc34fe4118CaaAF27580fa15750B3f058697BFa,130000.00,1
0x39a986A0c815b656BC3A74A7028e593652eC521f,130000.00,1
0xc3f8482C45437F48ACbe7377E5d4713872Ec2677,130000.00,1
0x63839118c47bE68Ad9851D728e60222889718Ee6,130000.00,1
0xE9B6f4dF37DBCE0d4D95552564ea49E42CF601C6,130000.00,1
0x592C3f9A97Bec771ecDA5819E3F33D7D0bC89bF4,130000.00,1
0x16481849A25F660fD85D8fE3aD8CaAC8f86c22f2,130000.00,1
0x87993205C3d591a906894f449F638a079E4956f8,130000.00,1
0xa3Ced6edEBd484AFb5E6408B55d09436a8000730,130000.00,1
0xa838c04583664c36974417C6490fd8fe830e3482,130000.00,1
0x1F26c103e01d5F65F36d98B2c9E7AD1adb960Af3,130000.00,1
0xc74fEe4fcb90444E52Ece8366F2055fcebb9B2AD,130000.00,1
0xC83c8916A1b9414dE7f42deEF4eB01917ec74451,130000.00,1
0x18f1be806Be555DcDEa2947a9e35c22BbE98Dfcb,130000.00,1
0x1A7Dd262569CDB732F7C2644fdFAFE85cAa9b3aa,130000.00,1
0xb200663fbEAE3C28D898453Fb4Fd9898cF0Bcbd8,130000.00,1
0x9deBADcAAE4820092c8Ff7DC741C9ec7D9E95027,130000.00,1
0xAc81b686aC3249D2fE546201F7811aC5E716ab9C,130000.00,1
0x647EAcD931D6107da00EF591AC9f602B0a7E43A4,130000.00,1
0xC056BA8556351a5F7F99EcC88e61c514127D09d9,130000.00,1
0xa96E8B9Da8a6936233f62Dc98b5a075bC0A7a49D,130000.00,1
0xA0Af5C79B3De08a038e402718DB129Ef32DAA1e2,130000.00,1
0xEAFC58B103Bec097c3108f0b4f2DCe89798Cc129,130000.00,1
0x4962CAEDFDfCAEdAcF9Db8be377e0191Edd97266,130000.00,1
0x07D9513A974d89306452d5adD4EE228CF853875E,130000.00,1
0xc81F7b9bBd22a92a1E8C6512Ff18E7606c0D097d,130000.00,1
0x806a3EB1c65986170EF54e3150407d0C6d6AF17d,130000.00,1
0x496226e0Cca54B2bd44EEda0529E8816A99f6405,130000.00,1
0xC59F0C8C4bc35Ae93a4c027ee039Bc2B604aC3A5,130000.00,1
0x5764f38b1C1a8C9b10Dde1ceAea62001c55b74b2,130000.00,1
0x09FB339aee44B8c2248E8559912aFa0f91234374,130000.00,1
0xF3e5ACa1dfA9810E7DF6F8716c12D51dAD89EB0F,130000.00,1
0x99daE7af846f5855E1Ed0d40ce28745B7f607842,130000.00,1
0x22ee0F895b0B7182ED44Bc4d923dECe11887503a,130000.00,1
0x29a5E3a309591513378F12B302Fd6b84E7AA6AcA,130000.00,1
0x2650a91585a6af33BAdA1C6CC05Dc911276B2c27,130000.00,1
0x7CAA160318E35CE2e5A896Cc7fDa7A7F2845BE53,130000.00,1
0xF587DE51b360188Eff868977A4E76fCf2644fba0,130000.00,1
0xfB46934Fc20F13882669E657f1d015aBA7ac99D5,130000.00,1
0x818f8f761aa9DCE13b71F48719e80A8ACf057090,130000.00,1
0x5704caaEE55D1989bAe866Ffe725618a2A7E6DE9,130000.00,1
0x30401ac8389bc42E8638459143F427D7dad567D9,130000.00,1
0x4792aAb453e8Ae7Ac7be9CAD4B48204986c475b3,130000.00,1
0xB2b2506D71a5910b42bBe1F9fD2059e49d282365,130000.00,1
0x268f0AE5D52D4E79520805e4F8a943f9e1a6E9f2,130000.00,1
0xc65Aa07A7134B08a558cBc29ABa93CEBdfB02a33,130000.00,1
0x36e6dF8911b87D16fB431CDdD35f054683E7cdE0,130000.00,1
0x271eE8E1A7dAC0379D2B8b6Cd36f59F217918c6A,130000.00,1
0x1d2F85b5AA0eA30fe22a786344b0F9710B6FD40A,130000.00,1
0x984687e55e3Ea04c1Feb630DDC5f1Be5B4563751,130000.00,1
0x31815c92D14C14251b2A3506fa713BCcDBF64986,130000.00,1
0x2A90c8BA96D0f0FC8e869C36017Ce094097fb261,130000.00,1
0x22d2C9e7c66178e33898FEBf14AB4b33135d0aBC,130000.00,1
0x1984c285c69Ce8AE395821be6d0A2ee14981ef12,130000.00,1
0xB5BEaa46A022e84ED944E44124b59bA5BE2090A5,130000.00,1
0x5b9fE390e257155A7b3E55C7d1dc37Eb3d210185,130000.00,1
0x6D178E2bBDdFbb92Fb1F2942266a3F5ca4eE3ce0,130000.00,1
0x58CDD903D854198F61E9EF78a38C036e236A20Bd,130000.00,1
0x1723e4d5DAAc7D6761941237d9a70b200424AF41,130000.00,1
0x042A3f89877dE8A761DBaa7846166d8ABa2b4212,130000.00,1
0x2A2b5eE4240bd0D7cc6b42248576609196536E3e,130000.00,1
0x530f6b0bF9BbFA078e9c147CBdF7510B75c4810A,130000.00,1
0xF8921e0329d334A24709aDB6bE4763BDFbC03859,130000.00,1
0x7ca6b924a30Cd4AB8c0A41c97Fc5Fe383b05F98f,130000.00,1
0x1b65E90bbb64155E68402a5403d8f0AB42C8D0b3,130000.00,1
0xa475237BA85a4250627ee464aBAAcb8308315eF1,130000.00,1
0x83298A2c1702372a7CDd283d0D994A57Be8EE16E,130000.00,1
0x4148993ADa9b088e2291e006510Cc00f311845ff,130000.00,1
0x489a07D82458C8CFe26Dd348AC83614F73dEb97f,130000.00,1
0x6b44D753B4311D73B6a0F50761A06cBC96b6b2a0,130000.00,1
0xCFf31428134E333C83a541a0fEa4A50e435aB028,130000.00,1
0x7e1a43Dd8f234868bAa806e44ebf1C97d46462b3,130000.00,1
0x6d6d91b18E71D142cAD2E69Ba8F39EF20BcC79a6,130000.00,1
0x4351b01aEA68C74E120B12Bc2a6f9e6335dEE6f7,130000.00,1
0xa4C836a2d97B1aaa67E59E975D3d84fcc8E4381B,130000.00,1
0x7ED5b8Ab0D30a2c7Eb02804c495b1D305A95347F,130000.00,1
0x08ca54317d9535Ca00c27F7083e09285Eb8277b6,130000.00,1
0x1A80B88dB87868D9b52B5B00349045563029535C,130000.00,1
0xb9EF6244c55087b03C042Fa643Abf0df9BFCe95E,130000.00,1
0xe168685F9331ca63458f2da791200EfA0eD68111,130000.00,1
0xB6CE3cDdaBa4b0975DDd641120F93C631f6234FA,130000.00,1
0x102774aFDf30C50f29ABdE9dA66D0d7F3413a258,130000.00,1
0xce21FFE9F2f445B645C22d6fD2d05cdf2a2bA6c7,130000.00,1
0x533f70588DBF83D77C567C2369bBb0D74ebaF440,130000.00,1
0x2d8E97569C42d3A387E948a6A8bCd6474B47E39b,130000.00,1
0x6fc5C081996Ba5706851F7D6fb4c21B88aa831aC,130000.00,1
0xba154b35DaFDd2284536278F8707a67758FA3744,130000.00,1
0xb58fA27E3DE0388042500596a5B52713C9CCcDCC,130000.00,1
0x341dc87aEA980a54B3B28EF952F2A0BF9685f66a,130000.00,1
0x69Cc92ec68Acd3A916DB33B5dabC8C24F9618972,130000.00,1
0x3d51CbfEaea061278D2b20b5dA046869F29A20da,130000.00,1
0xC557570B47Bf25deD6c31Afc6E5aaA3eFfcD316d,130000.00,1
0x70EDA8b4c446239b4CC01D97586227332C55e184,130000.00,1
0x8f2c0f09F5135312772145a49e633eAc05CFbb93,130000.00,1
0xDaDA4Da2C077a05b74C4A2f13E1F724eb881DfF5,116791.00,1
0xaf469C4a0914938e6149CF621c54FB4b1EC0c202,70000.00,1
0x12f7dAB1dFD40C435d3F9544F1fF6303A1Be8465,49612.00,1
0xF905a8bD5a62E5a7919628e5a3389f5C9ED5Ef20,40000.00,1
0xE40b54952702F25A6D1301c0e97431F7E1ecaa3D,36084.00,1
0x5700A2303a0E1a3aaf4FA23bbDCdb97A9A687011,35000.00,1
0x1818043A3Fb6F58dbA6951ed1717Ec772E30AE37,35000.00,1
0x0Be28a6Ab07637cA587a9E483b3C01C7B2c24ce8,35000.00,1
0x518fb3A759197c95c4aA71c9e32245b3782d628E,35000.00,1
0x3B08C1E5eAf366394a9b78A34c38779dadb3943a,35000.00,1
0xDc365bB8104C6e83E2e77A79139680cAaB3b3ED7,35000.00,1
0x1a1a0624177911C485b363733eA8C781d9f93413,35000.00,1
0x4fa9E11248c5392A46232566443Cc136a63eD758,35000.00,1
